Date,Series,Exam Board,Qualification,Code,Subject,Paper,Time,Length
6/13/2023,Jun-23,OCR ,A Level,Y216/01 ,(History) ,The USA in the 19th Century: Westward expansion and Civil War 1803-c.1890:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y217/01 ,(History) ,Japan 1853-1937:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y218/01 ,(History) ,International Relations 1890-1941:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y219/01 ,(History) ,Russia 1894-1941:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y220/01 ,(History) ,Italy 1896-1943:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y221/01 ,(History) ,Democracy and Dictatorships in Germany 1919-1963:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y222/01 ,(History) ,The Cold War in Asia 1945-1993:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y223/01 ,(History) ,The Cold War in Europe 1941-1995:Written Paper ,Morning,1h 00m 
6/13/2023,Jun-23,OCR ,A Level,Y224/01 ,(History) ,Apartheid and Reconciliation: South African Politics 1948-1999:Written Paper ,Morning,1h 00m 
5/23/2023,Jun-23,OCR ,A Level,Y243/01 ,(History) ,The French Revolution and the Rule of Napoleon 1774-1815:Written Paper ,Afternoon,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,Y249/01 ,(History) ,Russia 1894-1941:Written Paper ,Afternoon,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,Y251/01 ,(History) ,Democracy and Dictatorships in Germany 1919-1963:Written Paper ,Afternoon,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,Y252/01 ,(History) ,The Cold War in Asia 1945-1993:Written Paper ,Afternoon,1h 30m 
5/23/2023,Jun-23,OCR ,A Level,Y253/01 ,(History) ,The Cold War in Europe 1941-1995:Written Paper ,Afternoon,1h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y301/01 ,(History) ,The Early Anglo-Saxons c.400-800:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y302/01 ,(History) ,The Viking Age c.790-1066:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y303/01 ,(History) ,English Government and the Church 1066-1216:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y304/01 ,(History) ,The Church and Medieval Heresy c.1100-1437:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y305/01 ,(History) ,The Renaissance c.1400-c.1600:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y306/01 ,(History) ,Rebellion and Disorder under the Tudors 1485-1603:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y307/01 ,(History) ,Tudor Foreign Policy 1485-1603:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y308/01 ,(History) ,The Catholic Reformation 1492-1610:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y309/01 ,(History) ,The Ascendancy of the Ottoman Empire 1453-1606:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y310/01 ,(History) ,The Development of the Nation State: France 1498-1610:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y311/01 ,(History) ,The Origins and Growth of the British Empire 1558-1783:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y312/01 ,(History) ,Popular Culture and the Witchcraze of the 16th and 17th Centuries:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y313/01 ,(History) ,The Ascendancy of France 1610-1715:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y314/01 ,(History) ,The Challenge of German Nationalism 1789-1919:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y315/01 ,(History) ,The Changing Nature of Warfare 1792-1945:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y316/01 ,(History) ,Britain and Ireland 1791-1921:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y317/01 ,(History) ,China and its Rulers 1839-1989:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y318/01 ,(History) ,Russia and its Rulers 1855-1964:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y319/01 ,(History) ,Civil Rights in the USA 1865-1992:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y320/01 ,(History) ,From Colonialism to Independence: The British Empire 1857-1965:Written Paper ,Morning,2h 30m 
5/24/2023,Jun-23,OCR ,A Level,Y321/01 ,(History) ,The Middle East 1908-2011: Ottomans to Arab Spring:Written Paper ,Morning,2h 30m 
5/15/2023,Jun-23,OCR ,A Level,Y410/01 ,(Further Mathematics) ,Core Pure (AS):Written Paper ,Afternoon,1h 15m 
5/19/2023,Jun-23,OCR ,A Level,Y411/01 ,(Further Mathematics) ,Mechanics a (AS):Written Paper ,Afternoon,1h 15m 
6/14/2023,Jun-23,OCR ,A Level,Y412/01 ,(Further Mathematics) ,Statistics a (AS):Written Paper ,Afternoon,1h 15m 
5/26/2023,Jun-23,OCR ,A Level,Y413/01 ,(Further Mathematics) ,Modelling with Algorithms (AS):Written Paper ,Afternoon,1h 15m 
6/16/2023,Jun-23,OCR ,A Level,Y414/01 ,(Further Mathematics) ,Numerical Methods (AS):Written Paper ,Afternoon,1h 15m 
5/25/2023,Jun-23,OCR ,A Level,Y420/01 ,(Further Mathematics) ,Core Pure (AL):Written Paper ,Afternoon,2h 40m 
6/14/2023,Jun-23,OCR ,A Level,Y421/01 ,(Further Mathematics) ,Mechanics Major (AL):Written Paper ,Afternoon,2h 15m 
6/16/2023,Jun-23,OCR ,A Level,Y422/01 ,(Further Mathematics) ,Statistics Major (AL):Written Paper ,Afternoon,2h 15m 
6/14/2023,Jun-23,OCR ,A Level,Y431/01 ,(Further Mathematics) ,Mechanics Minor (AL):Written Paper ,Afternoon,1h 15m 
6/16/2023,Jun-23,OCR ,A Level,Y432/01 ,(Further Mathematics) ,Statistics Minor (AL):Written Paper ,Afternoon,1h 15m 
06/05/2023,Jun-23,OCR ,A Level,Y433/01 ,(Further Mathematics) ,Modelling with Algorithms (AL):Written Paper ,Afternoon,1h 15m 
6/22/2023,Jun-23,OCR ,A Level,Y434/01 ,(Further Mathematics) ,Numerical Methods (AL):Written Paper ,Afternoon,1h 15m 
6/23/2023,Jun-23,OCR ,A Level,Y435/01 ,(Further Mathematics) ,Extra Pure (AL):Written Paper ,Afternoon,1h 15m 
6/26/2023,Jun-23,OCR ,A Level,Y436/01 ,(Further Mathematics) ,Further Pure with Technology (AL):Written Paper ,Afternoon,1h 45m 
5/15/2023,Jun-23,OCR ,A Level,Y531/01 ,(Further Mathematics) ,Pure Core (AS):Written Paper ,Afternoon,1h 15m 
5/19/2023,Jun-23,OCR ,A Level,Y532/01 ,(Further Mathematics) ,Statistics (AS):Written Paper ,Afternoon,1h 15m 
6/14/2023,Jun-23,OCR ,A Level,Y533/01 ,(Further Mathematics) ,Mechanics (AS):Written Paper ,Afternoon,1h 15m 
5/26/2023,Jun-23,OCR ,A Level,Y534/01 ,(Further Mathematics) ,Discrete Mathematics (AS):Written Paper ,Afternoon,1h 15m 
6/16/2023,Jun-23,OCR ,A Level,Y535/01 ,(Further Mathematics) ,Additional Pure Mathematics (AS):Written Paper ,Afternoon,1h 15m 
5/25/2023,Jun-23,OCR ,A Level,Y540/01 ,(Further Mathematics) ,Pure Core 1 (AL):Written Paper ,Afternoon,1h 30m 
06/05/2023,Jun-23,OCR ,A Level,Y541/01 ,(Further Mathematics) ,Pure Core 2 (AL):Written Paper ,Afternoon,1h 30m 
6/14/2023,Jun-23,OCR ,A Level,Y542/01 ,(Further Mathematics) ,Statistics (AL):Written Paper ,Afternoon,1h 30m 
6/16/2023,Jun-23,OCR ,A Level,Y543/01 ,(Further Mathematics) ,Mechanics (AL):Written Paper ,Afternoon,1h 30m 
6/22/2023,Jun-23,OCR ,A Level,Y544/01 ,(Further Mathematics) ,Discrete Mathematics (AL):Written Paper ,Afternoon,1h 30m 
6/23/2023,Jun-23,OCR ,A Level,Y545/01 ,(Further Mathematics) ,Additional Pure Mathematics (AL):Written Paper ,Afternoon,1h 30m 
6/23/2023,Jun-23,OCR ,FSMQ,6993/01 ,(Additional Mathematics) ,Paper 1 ,Afternoon,2h 00m 
5/18/2023,Jun-23,OCR ,Level 3,H868/01 ,(Core Maths A (MEI)) ,Introduction to Quantitative Reasoning - Written Paper ,Afternoon,2h 00m 
5/25/2023,Jun-23,OCR ,Level 3,H868/02 ,(Core Maths A (MEI)) ,Critical Maths - Written Paper ,Afternoon,2h 00m 
5/18/2023,Jun-23,OCR ,Level 3,H869/01 ,(Core Maths B (MEI)) ,Introduction to Quantitative Reasoning - Written Paper ,Afternoon,2h 00m 
5/25/2023,Jun-23,OCR ,Level 3,H869/02 ,(Core Maths B (MEI)) ,Statistical Problem Solving - Written Paper ,Afternoon,2h 00m 
